src_global,dst_global,src_type,dst_type,edge_type,weight
41,7,device,device,physical,0.013868799999999903
7,46,device,device,physical,0.03719586666666663
46,7,device,device,physical,0.03719586666666663
7,51,device,device,physical,0.00023020000000006924
51,7,device,device,physical,0.00023020000000006924
8,12,device,device,physical,0.23949226666666656
12,8,device,device,physical,0.23949226666666656
8,26,device,device,physical,0.5719396000000001
26,8,device,device,physical,0.5719396000000001
8,28,device,device,physical,0.5719396000000001
28,8,device,device,physical,0.5719396000000001
8,29,device,device,physical,0.5478324
29,8,device,device,physical,0.5478324
8,43,device,device,physical,0.0921748
43,8,device,device,physical,0.0921748
8,52,device,device,physical,0.07088673333333328
52,8,device,device,physical,0.07088673333333328
9,10,device,device,physical,0.43833333333333324
10,9,device,device,physical,0.43833333333333324
9,15,device,device,physical,0.4304872666666667
15,9,device,device,physical,0.4304872666666667
9,16,device,device,physical,0.7666666666666666
16,9,device,device,physical,0.7666666666666666
9,19,device,device,physical,0.43500000000000005
19,9,device,device,physical,0.43500000000000005
9,21,device,device,physical,0.18833333333333324
21,9,device,device,physical,0.18833333333333324
9,23,device,device,physical,0.24091746666666658
23,9,device,device,physical,0.24091746666666658
9,24,device,device,physical,0.27345719999999996
24,9,device,device,physical,0.27345719999999996
9,27,device,device,physical,0.5133333333333334
27,9,device,device,physical,0.5133333333333334
9,31,device,device,physical,0.4916666666666667
31,9,device,device,physical,0.4916666666666667
9,34,device,device,physical,0.3693506000000001
34,9,device,device,physical,0.3693506000000001
9,37,device,device,physical,0.4783333333333333
37,9,device,device,physical,0.4783333333333333
9,40,device,device,physical,0.4783333333333333
40,9,device,device,physical,0.4783333333333333
9,41,device,device,physical,0.0319412
41,9,device,device,physical,0.0319412
9,45,device,device,physical,0.36795313333333335
45,9,device,device,physical,0.36795313333333335
9,46,device,device,physical,0.19856419999999997
46,9,device,device,physical,0.19856419999999997
9,47,device,device,physical,0.35289133333333333
47,9,device,device,physical,0.35289133333333333
9,48,device,device,physical,0.38148993333333325
48,9,device,device,physical,0.38148993333333325
9,49,device,device,physical,0.4783333333333333
49,9,device,device,physical,0.4783333333333333
9,51,device,device,physical,0.29916813333333336
51,9,device,device,physical,0.29916813333333336
9,53,device,device,physical,0.3147607333333333
53,9,device,device,physical,0.3147607333333333
10,15,device,device,physical,0.9172778666666667
15,10,device,device,physical,0.9172778666666667
10,16,device,device,physical,0.5033333333333333
16,10,device,device,physical,0.5033333333333333
10,19,device,device,physical,1.0
19,10,device,device,physical,1.0
10,21,device,device,physical,0.8666666666666667
21,10,device,device,physical,0.8666666666666667
10,23,device,device,physical,0.4184770666666666
23,10,device,device,physical,0.4184770666666666
10,24,device,device,physical,0.5051246
24,10,device,device,physical,0.5051246
10,27,device,device,physical,0.6583333333333333
27,10,device,device,physical,0.6583333333333333
10,31,device,device,physical,0.8133333333333334
31,10,device,device,physical,0.8133333333333334
10,34,device,device,physical,0.31240840000000003
34,10,device,device,physical,0.31240840000000003
10,37,device,device,physical,0.43333333333333335
37,10,device,device,physical,0.43333333333333335
10,40,device,device,physical,0.43333333333333335
40,10,device,device,physical,0.43333333333333335
10,45,device,device,physical,0.31146760000000007
45,10,device,device,physical,0.31146760000000007
10,46,device,device,physical,0.1020023333333333
46,10,device,device,physical,0.1020023333333333
10,47,device,device,physical,0.26613093333333326
47,10,device,device,physical,0.26613093333333326
10,48,device,device,physical,0.30123293333333334
48,10,device,device,physical,0.30123293333333334
10,49,device,device,physical,0.43333333333333335
49,10,device,device,physical,0.43333333333333335
10,51,device,device,physical,0.19079959999999996
51,10,device,device,physical,0.19079959999999996
10,53,device,device,physical,0.20458693333333333
53,10,device,device,physical,0.20458693333333333
11,17,device,device,physical,1.0
17,11,device,device,physical,1.0
11,18,device,device,physical,1.0
18,11,device,device,physical,1.0
11,20,device,device,physical,1.0
20,11,device,device,physical,1.0
11,22,device,device,physical,1.0
22,11,device,device,physical,1.0
11,30,device,device,physical,1.0
30,11,device,device,physical,1.0
11,36,device,device,physical,1.0
36,11,device,device,physical,1.0
11,38,device,device,physical,1.0
38,11,device,device,physical,1.0
11,39,device,device,physical,1.0
39,11,device,device,physical,1.0
11,44,device,device,physical,0.9178084666666666
44,11,device,device,physical,0.9178084666666666
11,50,device,device,physical,1.0
50,11,device,device,physical,1.0
11,54,device,device,physical,0.9997645333333334
54,11,device,device,physical,0.9997645333333334
11,55,device,device,physical,1.0
55,11,device,device,physical,1.0
11,56,device,device,physical,1.0
56,11,device,device,physical,1.0
11,57,device,device,physical,1.0
57,11,device,device,physical,1.0
12,29,device,device,physical,0.06583479999999997
29,12,device,device,physical,0.06583479999999997
13,14,device,device,physical,0.4127652666666666
14,13,device,device,physical,0.4127652666666666
13,33,device,device,physical,0.2652806000000001
33,13,device,device,physical,0.2652806000000001
13,42,device,device,physical,0.03137446666666677
42,13,device,device,physical,0.03137446666666677
13,52,device,device,physical,0.31866780000000006
52,13,device,device,physical,0.31866780000000006
14,44,device,device,physical,0.001600133333333309
44,14,device,device,physical,0.001600133333333309
15,16,device,device,physical,0.4571645333333334
16,15,device,device,physical,0.4571645333333334
15,19,device,device,physical,0.9174933333333333
19,15,device,device,physical,0.9174933333333333
15,21,device,device,physical,0.7882127333333333
21,15,device,device,physical,0.7882127333333333
15,23,device,device,physical,0.5352488
23,15,device,device,physical,0.5352488
15,24,device,device,physical,0.6043441333333333
24,15,device,device,physical,0.6043441333333333
15,27,device,device,physical,0.61448
27,15,device,device,physical,0.61448
15,31,device,device,physical,0.7294208666666666
31,15,device,device,physical,0.7294208666666666
15,34,device,device,physical,0.4139252
34,15,device,device,physical,0.4139252
15,37,device,device,physical,0.35632240000000004
37,15,device,device,physical,0.35632240000000004
15,40,device,device,physical,0.35632240000000004
40,15,device,device,physical,0.35632240000000004
15,45,device,device,physical,0.4131054666666666
45,15,device,device,physical,0.4131054666666666
15,46,device,device,physical,0.20590640000000004
46,15,device,device,physical,0.20590640000000004
15,47,device,device,physical,0.3693094
47,15,device,device,physical,0.3693094
15,48,device,device,physical,0.40386580000000005
48,15,device,device,physical,0.40386580000000005
15,49,device,device,physical,0.35632240000000004
49,15,device,device,physical,0.35632240000000004
15,51,device,device,physical,0.31320646666666674
51,15,device,device,physical,0.31320646666666674
15,53,device,device,physical,0.3281258
53,15,device,device,physical,0.3281258
16,19,device,device,physical,0.5033333333333333
19,16,device,device,physical,0.5033333333333333
16,21,device,device,physical,0.37
21,16,device,device,physical,0.37
16,23,device,device,physical,0.5054296
23,16,device,device,physical,0.5054296
16,24,device,device,physical,0.37649673333333333
24,16,device,device,physical,0.37649673333333333
16,27,device,device,physical,0.91
27,16,device,device,physical,0.91
16,31,device,device,physical,0.6699999999999999
31,16,device,device,physical,0.6699999999999999
16,34,device,device,physical,0.5924084000000001
34,16,device,device,physical,0.5924084000000001
16,37,device,device,physical,0.7133333333333334
37,16,device,device,physical,0.7133333333333334
16,40,device,device,physical,0.7133333333333334
40,16,device,device,physical,0.7133333333333334
16,41,device,device,physical,0.14624693333333338
41,16,device,device,physical,0.14624693333333338
16,45,device,device,physical,0.5914676
45,16,device,device,physical,0.5914676
16,46,device,device,physical,0.38200233333333344
46,16,device,device,physical,0.38200233333333344
16,47,device,device,physical,0.5461309333333333
47,16,device,device,physical,0.5461309333333333
16,48,device,device,physical,0.5812329333333333
48,16,device,device,physical,0.5812329333333333
16,49,device,device,physical,0.7133333333333334
49,16,device,device,physical,0.7133333333333334
16,51,device,device,physical,0.4707996
51,16,device,device,physical,0.4707996
16,53,device,device,physical,0.48458693333333336
53,16,device,device,physical,0.48458693333333336
17,18,device,device,physical,1.0
18,17,device,device,physical,1.0
17,20,device,device,physical,1.0
20,17,device,device,physical,1.0
17,22,device,device,physical,1.0
22,17,device,device,physical,1.0
17,30,device,device,physical,1.0
30,17,device,device,physical,1.0
17,36,device,device,physical,1.0
36,17,device,device,physical,1.0
17,38,device,device,physical,1.0
38,17,device,device,physical,1.0
17,39,device,device,physical,1.0
39,17,device,device,physical,1.0
17,44,device,device,physical,0.9178084666666666
44,17,device,device,physical,0.9178084666666666
17,50,device,device,physical,1.0
50,17,device,device,physical,1.0
17,54,device,device,physical,0.9997645333333334
54,17,device,device,physical,0.9997645333333334
17,55,device,device,physical,1.0
55,17,device,device,physical,1.0
17,56,device,device,physical,1.0
56,17,device,device,physical,1.0
17,57,device,device,physical,1.0
57,17,device,device,physical,1.0
18,20,device,device,physical,1.0
20,18,device,device,physical,1.0
18,22,device,device,physical,1.0
22,18,device,device,physical,1.0
18,30,device,device,physical,1.0
30,18,device,device,physical,1.0
18,36,device,device,physical,1.0
36,18,device,device,physical,1.0
18,38,device,device,physical,1.0
38,18,device,device,physical,1.0
18,39,device,device,physical,1.0
39,18,device,device,physical,1.0
18,44,device,device,physical,0.9178084666666666
44,18,device,device,physical,0.9178084666666666
18,50,device,device,physical,1.0
50,18,device,device,physical,1.0
18,54,device,device,physical,0.9997645333333334
54,18,device,device,physical,0.9997645333333334
18,55,device,device,physical,1.0
55,18,device,device,physical,1.0
18,56,device,device,physical,1.0
56,18,device,device,physical,1.0
18,57,device,device,physical,1.0
57,18,device,device,physical,1.0
19,21,device,device,physical,0.8666666666666667
21,19,device,device,physical,0.8666666666666667
19,23,device,device,physical,0.4184770666666666
23,19,device,device,physical,0.4184770666666666
19,24,device,device,physical,0.5051246
24,19,device,device,physical,0.5051246
19,27,device,device,physical,0.6583333333333333
27,19,device,device,physical,0.6583333333333333
19,31,device,device,physical,0.8133333333333334
31,19,device,device,physical,0.8133333333333334
19,34,device,device,physical,0.31240840000000003
34,19,device,device,physical,0.31240840000000003
19,37,device,device,physical,0.43333333333333335
37,19,device,device,physical,0.43333333333333335
19,40,device,device,physical,0.43333333333333335
40,19,device,device,physical,0.43333333333333335
19,45,device,device,physical,0.31146760000000007
45,19,device,device,physical,0.31146760000000007
19,46,device,device,physical,0.1020023333333333
46,19,device,device,physical,0.1020023333333333
19,47,device,device,physical,0.26613093333333326
47,19,device,device,physical,0.26613093333333326
19,48,device,device,physical,0.30123293333333334
48,19,device,device,physical,0.30123293333333334
19,49,device,device,physical,0.43333333333333335
49,19,device,device,physical,0.43333333333333335
19,51,device,device,physical,0.19079959999999996
51,19,device,device,physical,0.19079959999999996
19,53,device,device,physical,0.20458693333333333
53,19,device,device,physical,0.20458693333333333
20,22,device,device,physical,1.0
22,20,device,device,physical,1.0
20,30,device,device,physical,1.0
30,20,device,device,physical,1.0
20,36,device,device,physical,1.0
36,20,device,device,physical,1.0
20,38,device,device,physical,1.0
38,20,device,device,physical,1.0
20,39,device,device,physical,1.0
39,20,device,device,physical,1.0
20,44,device,device,physical,0.9178084666666666
44,20,device,device,physical,0.9178084666666666
20,50,device,device,physical,1.0
50,20,device,device,physical,1.0
20,54,device,device,physical,0.9997645333333334
54,20,device,device,physical,0.9997645333333334
20,55,device,device,physical,1.0
55,20,device,device,physical,1.0
20,56,device,device,physical,1.0
56,20,device,device,physical,1.0
20,57,device,device,physical,1.0
57,20,device,device,physical,1.0
21,23,device,device,physical,0.29955226666666657
23,21,device,device,physical,0.29955226666666657
21,24,device,device,physical,0.3890796666666667
24,21,device,device,physical,0.3890796666666667
21,27,device,device,physical,0.525
27,21,device,device,physical,0.525
21,31,device,device,physical,0.6799999999999999
31,21,device,device,physical,0.6799999999999999
21,34,device,device,physical,0.18749320000000003
34,21,device,device,physical,0.18749320000000003
21,37,device,device,physical,0.30000000000000004
37,21,device,device,physical,0.30000000000000004
21,40,device,device,physical,0.30000000000000004
40,21,device,device,physical,0.30000000000000004
21,45,device,device,physical,0.18655706666666672
45,21,device,device,physical,0.18655706666666672
21,47,device,device,physical,0.13930200000000004
47,21,device,device,physical,0.13930200000000004
21,48,device,device,physical,0.1733794666666667
48,21,device,device,physical,0.1733794666666667
21,49,device,device,physical,0.30000000000000004
49,21,device,device,physical,0.30000000000000004
21,51,device,device,physical,0.06571959999999999
51,21,device,device,physical,0.06571959999999999
21,53,device,device,physical,0.07829486666666674
53,21,device,device,physical,0.07829486666666674
22,30,device,device,physical,1.0
30,22,device,device,physical,1.0
22,36,device,device,physical,1.0
36,22,device,device,physical,1.0
22,38,device,device,physical,1.0
38,22,device,device,physical,1.0
22,39,device,device,physical,1.0
39,22,device,device,physical,1.0
22,44,device,device,physical,0.9178084666666666
44,22,device,device,physical,0.9178084666666666
22,50,device,device,physical,1.0
50,22,device,device,physical,1.0
22,54,device,device,physical,0.9997645333333334
54,22,device,device,physical,0.9997645333333334
22,55,device,device,physical,1.0
55,22,device,device,physical,1.0
22,56,device,device,physical,1.0
56,22,device,device,physical,1.0
22,57,device,device,physical,1.0
57,22,device,device,physical,1.0
23,24,device,device,physical,0.8399022
24,23,device,device,physical,0.8399022
23,25,device,device,physical,0.43612153333333337
25,23,device,device,physical,0.43612153333333337
23,27,device,device,physical,0.5593345333333334
27,23,device,device,physical,0.5593345333333334
23,31,device,device,physical,0.5108254
31,23,device,device,physical,0.5108254
23,34,device,device,physical,0.8150507333333333
34,23,device,device,physical,0.8150507333333333
23,35,device,device,physical,0.5020281333333333
35,23,device,device,physical,0.5020281333333333
23,37,device,device,physical,0.6453223333333333
37,23,device,device,physical,0.6453223333333333
23,40,device,device,physical,0.6453223333333333
40,23,device,device,physical,0.6453223333333333
23,41,device,device,physical,0.6621058666666666
41,23,device,device,physical,0.6621058666666666
23,45,device,device,physical,0.8153137333333333
45,23,device,device,physical,0.8153137333333333
23,46,device,device,physical,0.9144426666666666
46,23,device,device,physical,0.9144426666666666
23,47,device,device,physical,0.8428856666666666
47,23,device,device,physical,0.8428856666666666
23,48,device,device,physical,0.8078192
48,23,device,device,physical,0.8078192
23,49,device,device,physical,0.6453223333333333
49,23,device,device,physical,0.6453223333333333
23,51,device,device,physical,0.917341
51,23,device,device,physical,0.917341
23,53,device,device,physical,0.8979388666666667
53,23,device,device,physical,0.8979388666666667
24,25,device,device,physical,0.4357025333333334
25,24,device,device,physical,0.4357025333333334
24,27,device,device,physical,0.45376266666666665
27,24,device,device,physical,0.45376266666666665
24,31,device,device,physical,0.6233969333333333
31,24,device,device,physical,0.6233969333333333
24,34,device,device,physical,0.8141438
34,24,device,device,physical,0.8141438
24,35,device,device,physical,0.47506646666666663
35,24,device,device,physical,0.47506646666666663
24,37,device,device,physical,0.6598984
37,24,device,device,physical,0.6598984
24,40,device,device,physical,0.6598984
40,24,device,device,physical,0.6598984
24,41,device,device,physical,0.6661325333333333
41,24,device,device,physical,0.6661325333333333
24,45,device,device,physical,0.8135872
45,24,device,device,physical,0.8135872
24,46,device,device,physical,0.943412
46,24,device,device,physical,0.943412
24,47,device,device,physical,0.841934
47,24,device,device,physical,0.841934
24,48,device,device,physical,0.8151486
48,24,device,device,physical,0.8151486
24,49,device,device,physical,0.6598984
49,24,device,device,physical,0.6598984
24,51,device,device,physical,0.8967277333333333
51,24,device,device,physical,0.8967277333333333
24,53,device,device,physical,0.8813175333333333
53,24,device,device,physical,0.8813175333333333
25,27,device,device,physical,0.08026326666666661
27,25,device,device,physical,0.08026326666666661
25,31,device,device,physical,0.08026326666666661
31,25,device,device,physical,0.08026326666666661
25,34,device,device,physical,0.3114352
34,25,device,device,physical,0.3114352
25,35,device,device,physical,0.8806418666666667
35,25,device,device,physical,0.8806418666666667
25,37,device,device,physical,0.16110666666666673
37,25,device,device,physical,0.16110666666666673
25,40,device,device,physical,0.16110666666666673
40,25,device,device,physical,0.16110666666666673
25,41,device,device,physical,0.6751944
41,25,device,device,physical,0.6751944
25,45,device,device,physical,0.3115895333333333
45,25,device,device,physical,0.3115895333333333
25,46,device,device,physical,0.5608932
46,25,device,device,physical,0.5608932
25,47,device,device,physical,0.34064893333333335
47,25,device,device,physical,0.34064893333333335
25,48,device,device,physical,0.3106323333333333
48,25,device,device,physical,0.3106323333333333
25,49,device,device,physical,0.16110666666666673
49,25,device,device,physical,0.16110666666666673
25,51,device,device,physical,0.4130644
51,25,device,device,physical,0.4130644
25,53,device,device,physical,0.39768613333333336
53,25,device,device,physical,0.39768613333333336
26,28,device,device,physical,0.9916666666666667
28,26,device,device,physical,0.9916666666666667
26,29,device,device,physical,0.9933333333333333
29,26,device,device,physical,0.9933333333333333
26,52,device,device,physical,0.06442539999999997
52,26,device,device,physical,0.06442539999999997
27,31,device,device,physical,0.815
31,27,device,device,physical,0.815
27,34,device,device,physical,0.8378359333333334
34,27,device,device,physical,0.8378359333333334
27,35,device,device,physical,0.09493800000000008
35,27,device,device,physical,0.09493800000000008
27,37,device,device,physical,1.0
37,27,device,device,physical,1.0
27,40,device,device,physical,1.0
40,27,device,device,physical,1.0
27,41,device,device,physical,0.3174619333333334
41,27,device,device,physical,0.3174619333333334
27,45,device,device,physical,0.8380783333333334
45,27,device,device,physical,0.8380783333333334
27,46,device,device,physical,0.5641018
46,27,device,device,physical,0.5641018
27,47,device,device,physical,0.8063928
47,27,device,device,physical,0.8063928
27,48,device,device,physical,0.844608
48,27,device,device,physical,0.844608
27,49,device,device,physical,1.0
49,27,device,device,physical,1.0
27,51,device,device,physical,0.7298653333333334
51,27,device,device,physical,0.7298653333333334
27,53,device,device,physical,0.7493492666666667
53,27,device,device,physical,0.7493492666666667
28,29,device,device,physical,0.9983333333333333
29,28,device,device,physical,0.9983333333333333
28,52,device,device,physical,0.05227106666666659
52,28,device,device,physical,0.05227106666666659
29,52,device,device,physical,0.011746999999999952
52,29,device,device,physical,0.011746999999999952
30,36,device,device,physical,1.0
36,30,device,device,physical,1.0
30,38,device,device,physical,1.0
38,30,device,device,physical,1.0
30,39,device,device,physical,1.0
39,30,device,device,physical,1.0
30,44,device,device,physical,0.9178084666666666
44,30,device,device,physical,0.9178084666666666
30,50,device,device,physical,1.0
50,30,device,device,physical,1.0
30,54,device,device,physical,0.9997645333333334
54,30,device,device,physical,0.9997645333333334
30,55,device,device,physical,1.0
55,30,device,device,physical,1.0
30,56,device,device,physical,1.0
56,30,device,device,physical,1.0
30,57,device,device,physical,1.0
57,30,device,device,physical,1.0
31,34,device,device,physical,0.8378359333333334
34,31,device,device,physical,0.8378359333333334
31,35,device,device,physical,0.07704706666666672
35,31,device,device,physical,0.07704706666666672
31,37,device,device,physical,1.0
37,31,device,device,physical,1.0
31,40,device,device,physical,1.0
40,31,device,device,physical,1.0
31,41,device,device,physical,0.3174619333333334
41,31,device,device,physical,0.3174619333333334
31,45,device,device,physical,0.8380783333333334
45,31,device,device,physical,0.8380783333333334
31,46,device,device,physical,0.5641018
46,31,device,device,physical,0.5641018
31,47,device,device,physical,0.8063928
47,31,device,device,physical,0.8063928
31,48,device,device,physical,0.844608
48,31,device,device,physical,0.844608
31,49,device,device,physical,1.0
49,31,device,device,physical,1.0
31,51,device,device,physical,0.7298653333333334
51,31,device,device,physical,0.7298653333333334
31,53,device,device,physical,0.7493492666666667
53,31,device,device,physical,0.7493492666666667
33,42,device,device,physical,0.7924382666666667
42,33,device,device,physical,0.7924382666666667
33,52,device,device,physical,0.39394146666666663
52,33,device,device,physical,0.39394146666666663
34,35,device,device,physical,0.34785753333333325
35,34,device,device,physical,0.34785753333333325
34,37,device,device,physical,0.8456064666666667
37,34,device,device,physical,0.8456064666666667
34,40,device,device,physical,0.8456064666666667
40,34,device,device,physical,0.8456064666666667
34,41,device,device,physical,0.49449046666666663
41,34,device,device,physical,0.49449046666666663
34,45,device,device,physical,0.9962332666666667
45,34,device,device,physical,0.9962332666666667
34,46,device,device,physical,0.7777961333333333
46,34,device,device,physical,0.7777961333333333
34,47,device,device,physical,0.9489909333333333
47,34,device,device,physical,0.9489909333333333
34,48,device,device,physical,0.9572615333333333
48,34,device,device,physical,0.9572615333333333
34,49,device,device,physical,0.8456064666666667
49,34,device,device,physical,0.8456064666666667
34,51,device,device,physical,0.8937157333333333
51,34,device,device,physical,0.8937157333333333
34,53,device,device,physical,0.9007436
53,34,device,device,physical,0.9007436
35,37,device,device,physical,0.1796365333333333
37,35,device,device,physical,0.1796365333333333
35,40,device,device,physical,0.1796365333333333
40,35,device,device,physical,0.1796365333333333
35,41,device,device,physical,0.7572888666666666
41,35,device,device,physical,0.7572888666666666
35,45,device,device,physical,0.3476781333333334
45,35,device,device,physical,0.3476781333333334
35,46,device,device,physical,0.6158732666666666
46,35,device,device,physical,0.6158732666666666
35,47,device,device,physical,0.3755765333333334
47,35,device,device,physical,0.3755765333333334
35,48,device,device,physical,0.33967039999999993
48,35,device,device,physical,0.33967039999999993
35,49,device,device,physical,0.1796365333333333
49,35,device,device,physical,0.1796365333333333
35,51,device,device,physical,0.4537393333333333
51,35,device,device,physical,0.4537393333333333
35,53,device,device,physical,0.43606746666666674
53,35,device,device,physical,0.43606746666666674
36,38,device,device,physical,1.0
38,36,device,device,physical,1.0
36,39,device,device,physical,1.0
39,36,device,device,physical,1.0
36,44,device,device,physical,0.9178084666666666
44,36,device,device,physical,0.9178084666666666
36,50,device,device,physical,1.0
50,36,device,device,physical,1.0
36,54,device,device,physical,0.9997645333333334
54,36,device,device,physical,0.9997645333333334
36,55,device,device,physical,1.0
55,36,device,device,physical,1.0
36,56,device,device,physical,1.0
56,36,device,device,physical,1.0
36,57,device,device,physical,1.0
57,36,device,device,physical,1.0
37,40,device,device,physical,1.0
40,37,device,device,physical,1.0
37,41,device,device,physical,0.3311052
41,37,device,device,physical,0.3311052
37,45,device,device,physical,0.8451194
45,37,device,device,physical,0.8451194
37,46,device,device,physical,0.6079566666666667
46,37,device,device,physical,0.6079566666666667
37,47,device,device,physical,0.8144998
47,37,device,device,physical,0.8144998
37,48,device,device,physical,0.8555092666666666
48,37,device,device,physical,0.8555092666666666
37,49,device,device,physical,1.0
49,37,device,device,physical,1.0
37,51,device,device,physical,0.7347353999999999
51,37,device,device,physical,0.7347353999999999
37,53,device,device,physical,0.7553300000000001
53,37,device,device,physical,0.7553300000000001
38,39,device,device,physical,1.0
39,38,device,device,physical,1.0
38,44,device,device,physical,0.9178084666666666
44,38,device,device,physical,0.9178084666666666
38,50,device,device,physical,1.0
50,38,device,device,physical,1.0
38,54,device,device,physical,0.9997645333333334
54,38,device,device,physical,0.9997645333333334
38,55,device,device,physical,1.0
55,38,device,device,physical,1.0
38,56,device,device,physical,1.0
56,38,device,device,physical,1.0
38,57,device,device,physical,1.0
57,38,device,device,physical,1.0
39,44,device,device,physical,0.9178084666666666
44,39,device,device,physical,0.9178084666666666
39,50,device,device,physical,1.0
50,39,device,device,physical,1.0
39,54,device,device,physical,0.9997645333333334
54,39,device,device,physical,0.9997645333333334
39,55,device,device,physical,1.0
55,39,device,device,physical,1.0
39,56,device,device,physical,1.0
56,39,device,device,physical,1.0
39,57,device,device,physical,1.0
57,39,device,device,physical,1.0
40,41,device,device,physical,0.3311052
41,40,device,device,physical,0.3311052
40,45,device,device,physical,0.8451194
45,40,device,device,physical,0.8451194
40,46,device,device,physical,0.6079566666666667
